"国","日付","タイトル（日本語）","内容（日本語）","出展サイト","画像URL","URL"
"日本","2026-01-07","日産『エクストレイル』、車中泊仕様「マルチベッド」設定…532万7300円で2月発売(レスポンス)","日産モータースポーツ＆カスタマイズは1月7日、SUV『エクストレイル』の「ROCK CREEK」をベースに、車中泊ニーズに対応したモデル「マルチベッド」を設定し、2月27日に発売すると発表した。価格は","レスポンス","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260108-00000003-rps-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/333b1c8005d546c05fd5e3d5d67135f3f6512dcf"
"日本","2026-01-07","パナソニックインダストリー、車載向け高精度変位センサーなどを出展へ…オートモーティブワールド2026(レスポンス)","パナソニック インダストリーは、1月21日から23日まで東京ビッグサイトで開催される「オートモーティブワールド2026」に出展すると発表した。  この国際展示会はカーボンニュートラル、電子化・電動化、","レスポンス","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00000023-rps-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/2e07e9e00c49da24d3b59d1a705dcd094a70efc7"
"日本","2026-01-07","ヴァレオ、視線追跡やヘルメット検知機能を備えたAI車内モニタリング発表…CES 2026(レスポンス)","ヴァレオと、AI搭載型オペレーターモニタリングシステムを設計する先進コンピュータービジョン技術のSeeing Machinesは、CES2026において両社の共同開発によるドライバーおよび乗員向け車内","レスポンス","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00000016-rps-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/97f7c87a0c55899bda9eaa2afd26217f89a4bac2"
"日本","2026-01-07","『プラド』の中古車をカスタム、約800万円からで3月発売へ…トヨタ・コニック・プロ(レスポンス)","トヨタ・コニック・プロは1月7日、スタイルドカーブランド「CORDE by＜コーデバイ＞」が展開する『ランドクルーザープラド』の新モデル「LAND CRUISER PRADO NEWSCAPE」の発売","レスポンス","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00000015-rps-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/0b80c5f42b69769e5f9a6a32d46e0f38b5bf73c6"
"日本","2026-01-07","トヨタ『アイゴX』改良新型に初の「GRスポーツ」、専用内外装にスポーティな足回り…欧州発売(レスポンス)","トヨタ自動車は、Aセグメント小型SUV『アイゴX』の改良新型に、初めて「GRスポーツ」を設定し、欧州市場で発売した。  GRスポーツバージョンは、世界選手権で勝利を収めたトヨタ・ガズー・レーシングのモ","レスポンス","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00000008-rps-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/aba9ac395f957c1f48ff1ebb738f886af2ad7486"
"日本","2026-01-07","凛々しい顔立ちに刷新されたベストセラー「ホンダ ヴェゼル」【最新コンパクトカー 車種別解説 HONDA VEZEL】(MotorFan)","24年のマイナーチェンジではスッキリとしたフロントフェイスに変身し、その印象を変えた「ホンダ・ヴェゼル」。このマイナーチェンジではエクステリアの変更だけでなくセンターコンソールの使い勝手の向上や後席の","MotorFan","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260108-01344170-motorfan-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/fa4a186e77243fd12236c846f2454d59b9ca180c"
"日本","2026-01-07","イマドキ軽だって商用車だって付いてるのになぜ？　路線バスに先進安全装備が採用されないワケ(WEB CARTOP)","トヨタ・プロボックス（ライトバン）が2025年11月25日に一部改良を行った。注目の改良ポイントのひとつが安全装備の充実であった。プリクラッシュセーフティ（衝突回避を補助）、レーダークルーズコントロ","WEB CARTOP","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260108-00010000-wcartop-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/b4c0c026ac42ac8a4f817ebbd4eb7569efe28a1f"
"日本","2026-01-07","単なるデザインコンセプトにあらず！　メルセデス・ベンツの「ヴィジョン・アイコニック」は全身ソーラーパネルのスゴイやつだった(WEB CARTOP)","メルセデス・ベンツが昨年発表したコンセプトカー、「ヴィジョン・アイコニック」は、彼らが思い描く未来のデザインの方向性を提案すると同時に、最先端のテクノロジーを搭載した、きわめて話題性の高いモデルだ。","WEB CARTOP","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00010006-wcartop-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/5632f1412a9d8cb8572a2e74b91bd29382215930"
"日本","2026-01-07","ありそうでなかったSUVの車中泊仕様！　アウトドア派大注目の1台　日産エクストレイル「ROCK CREEK マルチベッド」が登場(WEB CARTOP)","コロナ禍以降、急速に広まりを見せているアウトドアブーム。クルマを用いたアクティビティも多く、キャンプや車中泊のためにマイカーを改造するというユーザーもしばしば見られる。そんな車中泊にフォーカスしたモ","WEB CARTOP","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00010002-wcartop-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/1d584413cbd07deed76e3c71d630a22e739442fd"
"日本","2026-01-07","「日産エクストレイル」の車中泊仕様「ロッククリーク マルチベッド」登場(webCG)","日産自動車の子会社である日産モータースポーツ＆カスタマイズ（NMC）は2026年1月7日、SUV「エクストレイル」のカスタマイズモデル「ROCK CREEK（ロッククリーク）」をベースとした車中泊仕様","webCG","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00010001-webcg-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/a13cdd07d59a2764bc7a6077896781b88ffb94f8"
"日本","2026-01-07","モニターのない旧車にもディスプレイオーディオを!! 動画もナビも楽しめる後付けポータブルモニターがカーライフを変える!!！(ベストカーWeb)","純正モニターのないクルマや旧車でも、ナビも動画も楽しめたら。そんな願いを叶えるのが後付けディスプレイオーディオ「GetPairr Vista 1.0」だ。スマホとつなぐだけでCarPlay×Andro","ベストカーWeb","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260107-00000012-bestcar-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/7dde2a6bc8851f46c48959458a797bdf68a66550"
"日本","2026-01-07","270万円！ 一番安いマツダの「小さいSUV」CX-3がスゴい！ “クラス超え”上質ホワイト内装×上級モデル並みに装備が充実！ コスパ最高すぎる「エントリーグレード」とは！(くるまのニュース)","マツダは2025年12月11日に「CX-3」の機種体系変更を発表し、同年12月下旬に発売しました。  　今回の改良では、グレードを2種類に整理し、装備内容に変更を加えられています。","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260108-00998905-kurumans-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/25f1b4c29753c3e545d661f1aacfb3d60db05950"
"日本","2026-01-07","全長3.9m！ めちゃ小さい「“7人乗り”ミニバン」日産キューブ3が凄かった！ 衝撃の「3列レイアウト」採用した斬新「マイクロ・ミニバン」！ 独創デザインも“今なお魅力的”な1台とは！(くるまのニュース)","近年の自動車市場において、車体サイズの拡大と価格の上昇が収まる様子はなく、かつて“コンパクト”と呼ばれた車種であっても、モデルチェンジで全幅1700mmを超える3ナンバーサイズへと大型化することは珍","くるまのニュース","https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260108-00996029-kurumans-000-1-view.jpg?exp=10800","https://news.yahoo.co.jp/articles/b3ec649fa5650796d8faf248a395bb6974635572"
